Type of traveling,Objective,Public/Private,Organization,Type of vehicle,Date,Unit,Total
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,5/2/2025,people,"19,700"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,5/2/2025,people,"20,356"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,5/2/2025,people,"24,656"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,5/2/2025,people,"25,324"
Air,International traveling,Public,ทย.,Regional Airports Inbound,5/2/2025,people,"1,646"
Air,International traveling,Public,ทย.,Regional Airports Outbound,5/2/2025,people,"1,711"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,6/2/2025,people,"95,391"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,6/2/2025,people,"6,173"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),6/2/2025,Units,"791,740"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),6/2/2025,Units,"959,111"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),6/2/2025,Units,"1,495,375"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),6/2/2025,Units,"1,558,140"
road,within Bangkok,Public,ขบ.,Category 4,6/2/2025,people,464
road,within Bangkok,Public,ขสมก.,BMTA buses,6/2/2025,people,"579,279"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),6/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),6/2/2025,people,"385,149"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,6/2/2025,people,"14,826"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,6/2/2025,people,"23,520"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,6/2/2025,people,"25,251"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,6/2/2025,people,"3,914"
River,within Bangkok,Public,จท.,Regional boats,6/2/2025,people,"206,777"
Railway,Inter-provincial travel,Public,รฟท.,Trains,6/2/2025,people,"74,937"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,6/2/2025,people,"531,459"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,6/2/2025,people,"84,129"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,6/2/2025,people,"52,137"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,6/2/2025,people,"70,924"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,6/2/2025,people,"82,011"
Railway,within Bangkok,Public,กทม.,BTS electric trains,6/2/2025,people,"898,381"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,6/2/2025,people,"43,836"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,6/2/2025,people,"20,566"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,6/2/2025,people,"27,797"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,6/2/2025,people,"29,798"
Air,Inter-provincial travel,Public,ทย.,Regional airports,6/2/2025,people,"19,251"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,6/2/2025,people,288
Air,Inter-provincial travel,Public,กพท.,Samui Airport,6/2/2025,people,"4,653"
road,International traveling,Public,บขส.,Bus Inbound,6/2/2025,people,607
road,International traveling,Public,บขส.,Bus Outbound,6/2/2025,people,"1,507"
Railway,International traveling,Public,รฟท.,Train Inbound,6/2/2025,people,458
Railway,International traveling,Public,รฟท.,Train Outbound,6/2/2025,people,375
River,International traveling,Public,จท.,Border Port Inbound,6/2/2025,people,"2,858"
River,International traveling,Public,จท.,Border Port Outbound,6/2/2025,people,"2,812"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,6/2/2025,people,"73,344"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,6/2/2025,people,"68,446"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,6/2/2025,people,"18,993"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,6/2/2025,people,"20,806"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,6/2/2025,people,"26,625"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,6/2/2025,people,"27,705"
Air,International traveling,Public,ทย.,Regional Airports Inbound,6/2/2025,people,"1,487"
Air,International traveling,Public,ทย.,Regional Airports Outbound,6/2/2025,people,"1,472"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,7/2/2025,people,"95,823"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,7/2/2025,people,"5,606"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),7/2/2025,Units,"874,011"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),7/2/2025,Units,"1,043,644"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),7/2/2025,Units,"1,718,732"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),7/2/2025,Units,"1,793,290"
road,within Bangkok,Public,ขบ.,Category 4,7/2/2025,people,356
road,within Bangkok,Public,ขสมก.,BMTA buses,7/2/2025,people,"582,224"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),7/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),7/2/2025,people,"389,857"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,7/2/2025,people,"14,528"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,7/2/2025,people,"23,271"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,7/2/2025,people,"25,027"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,7/2/2025,people,"2,750"
River,within Bangkok,Public,จท.,Regional boats,7/2/2025,people,"198,595"
Railway,Inter-provincial travel,Public,รฟท.,Trains,7/2/2025,people,"89,072"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,7/2/2025,people,"549,926"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,7/2/2025,people,"87,204"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,7/2/2025,people,"54,601"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,7/2/2025,people,"80,718"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,7/2/2025,people,"84,495"
Railway,within Bangkok,Public,กทม.,BTS electric trains,7/2/2025,people,"957,717"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,7/2/2025,people,"52,003"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,7/2/2025,people,"19,816"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,7/2/2025,people,"30,374"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,7/2/2025,people,"29,524"
Air,Inter-provincial travel,Public,ทย.,Regional airports,7/2/2025,people,"21,806"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,7/2/2025,people,137
Air,Inter-provincial travel,Public,กพท.,Samui Airport,7/2/2025,people,"4,367"
road,International traveling,Public,บขส.,Bus Inbound,7/2/2025,people,561
road,International traveling,Public,บขส.,Bus Outbound,7/2/2025,people,"1,996"
Railway,International traveling,Public,รฟท.,Train Inbound,7/2/2025,people,484
Railway,International traveling,Public,รฟท.,Train Outbound,7/2/2025,people,441
River,International traveling,Public,จท.,Border Port Inbound,7/2/2025,people,"2,671"
River,International traveling,Public,จท.,Border Port Outbound,7/2/2025,people,"2,787"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,7/2/2025,people,"74,011"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,7/2/2025,people,"70,559"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,7/2/2025,people,"19,921"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,7/2/2025,people,"20,447"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,7/2/2025,people,"24,518"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,7/2/2025,people,"26,220"
Air,International traveling,Public,ทย.,Regional Airports Inbound,7/2/2025,people,"1,050"
Air,International traveling,Public,ทย.,Regional Airports Outbound,7/2/2025,people,988
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,8/2/2025,people,"101,302"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,8/2/2025,people,"6,170"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),8/2/2025,Units,"898,124"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),8/2/2025,Units,"1,047,397"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),8/2/2025,Units,"1,511,750"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),8/2/2025,Units,"1,568,631"
road,within Bangkok,Public,ขบ.,Category 4,8/2/2025,people,998
road,within Bangkok,Public,ขสมก.,BMTA buses,8/2/2025,people,"472,248"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),8/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),8/2/2025,people,"313,705"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,8/2/2025,people,"7,596"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,8/2/2025,people,"7,575"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,8/2/2025,people,"24,164"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,8/2/2025,people,"3,285"
River,within Bangkok,Public,จท.,Regional boats,8/2/2025,people,"218,226"
Railway,Inter-provincial travel,Public,รฟท.,Trains,8/2/2025,people,"80,408"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,8/2/2025,people,"375,775"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,8/2/2025,people,"51,637"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,8/2/2025,people,"38,300"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,8/2/2025,people,"54,770"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,8/2/2025,people,"64,374"
Railway,within Bangkok,Public,กทม.,BTS electric trains,8/2/2025,people,"735,691"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,8/2/2025,people,"37,972"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,8/2/2025,people,"20,008"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,8/2/2025,people,"28,746"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,8/2/2025,people,"28,773"
Air,Inter-provincial travel,Public,ทย.,Regional airports,8/2/2025,people,"20,571"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,8/2/2025,people,133
Air,Inter-provincial travel,Public,กพท.,Samui Airport,8/2/2025,people,"3,370"
road,International traveling,Public,บขส.,Bus Inbound,8/2/2025,people,758
road,International traveling,Public,บขส.,Bus Outbound,8/2/2025,people,"1,725"
Railway,International traveling,Public,รฟท.,Train Inbound,8/2/2025,people,483
Railway,International traveling,Public,รฟท.,Train Outbound,8/2/2025,people,477
River,International traveling,Public,จท.,Border Port Inbound,8/2/2025,people,"2,398"
River,International traveling,Public,จท.,Border Port Outbound,8/2/2025,people,"2,502"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,8/2/2025,people,"71,807"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,8/2/2025,people,"69,965"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,8/2/2025,people,"18,521"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,8/2/2025,people,"21,089"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,8/2/2025,people,"27,310"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,8/2/2025,people,"28,817"
Air,International traveling,Public,ทย.,Regional Airports Inbound,8/2/2025,people,"1,282"
Air,International traveling,Public,ทย.,Regional Airports Outbound,8/2/2025,people,"1,247"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,9/2/2025,people,"99,676"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,9/2/2025,people,"6,398"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),9/2/2025,Units,"898,846"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),9/2/2025,Units,"1,005,981"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),9/2/2025,Units,"1,224,519"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),9/2/2025,Units,"1,250,478"
road,within Bangkok,Public,ขบ.,Category 4,9/2/2025,people,792
road,within Bangkok,Public,ขสมก.,BMTA buses,9/2/2025,people,"425,278"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),9/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),9/2/2025,people,"284,969"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,9/2/2025,people,"6,641"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,9/2/2025,people,"7,219"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,9/2/2025,people,"25,475"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,9/2/2025,people,"3,310"
River,within Bangkok,Public,จท.,Regional boats,9/2/2025,people,"210,537"
Railway,Inter-provincial travel,Public,รฟท.,Trains,9/2/2025,people,"84,286"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,9/2/2025,people,"309,343"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,9/2/2025,people,"41,024"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,9/2/2025,people,"31,996"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,9/2/2025,people,"40,674"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,9/2/2025,people,"55,738"
Railway,within Bangkok,Public,กทม.,BTS electric trains,9/2/2025,people,"548,535"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,9/2/2025,people,"26,658"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,9/2/2025,people,"19,553"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,9/2/2025,people,"28,917"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,9/2/2025,people,"28,410"
Air,Inter-provincial travel,Public,ทย.,Regional airports,9/2/2025,people,"20,474"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,9/2/2025,people,289
Air,Inter-provincial travel,Public,กพท.,Samui Airport,9/2/2025,people,"4,038"
road,International traveling,Public,บขส.,Bus Inbound,9/2/2025,people,746
road,International traveling,Public,บขส.,Bus Outbound,9/2/2025,people,"2,207"
Railway,International traveling,Public,รฟท.,Train Inbound,9/2/2025,people,321
Railway,International traveling,Public,รฟท.,Train Outbound,9/2/2025,people,321
River,International traveling,Public,จท.,Border Port Inbound,9/2/2025,people,"2,371"
River,International traveling,Public,จท.,Border Port Outbound,9/2/2025,people,"2,407"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,9/2/2025,people,"75,452"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,9/2/2025,people,"72,634"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,9/2/2025,people,"19,316"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,9/2/2025,people,"22,826"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,9/2/2025,people,"24,139"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,9/2/2025,people,"28,515"
Air,International traveling,Public,ทย.,Regional Airports Inbound,9/2/2025,people,"1,348"
Air,International traveling,Public,ทย.,Regional Airports Outbound,9/2/2025,people,"1,092"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,10/2/2025,people,"99,317"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,10/2/2025,people,"6,231"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),10/2/2025,Units,"818,334"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),10/2/2025,Units,"977,194"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),10/2/2025,Units,"1,640,785"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),10/2/2025,Units,"1,712,870"
road,within Bangkok,Public,ขบ.,Category 4,10/2/2025,people,"1,062"
road,within Bangkok,Public,ขสมก.,BMTA buses,10/2/2025,people,"582,118"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),10/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),10/2/2025,people,"384,461"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,10/2/2025,people,"15,414"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,10/2/2025,people,"23,175"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,10/2/2025,people,"24,126"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,10/2/2025,people,"2,954"
River,within Bangkok,Public,จท.,Regional boats,10/2/2025,people,"201,753"
Railway,Inter-provincial travel,Public,รฟท.,Trains,10/2/2025,people,"81,216"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,10/2/2025,people,"505,611"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,10/2/2025,people,"82,530"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,10/2/2025,people,"49,298"
Railway,within Bangkok,Public,รฟม.,Pink Line Electric Train,10/2/2025,people,"68,273"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,10/2/2025,people,"78,460"
Railway,within Bangkok,Public,กทม.,BTS electric trains,10/2/2025,people,"830,119"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,10/2/2025,people,"40,875"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,10/2/2025,people,"19,079"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,10/2/2025,people,"27,527"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,10/2/2025,people,"29,446"
Air,Inter-provincial travel,Public,ทย.,Regional airports,10/2/2025,people,"20,156"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,10/2/2025,people,136
Air,Inter-provincial travel,Public,กพท.,Samui Airport,10/2/2025,people,"4,599"
road,International traveling,Public,บขส.,Bus Inbound,10/2/2025,people,"1,004"
road,International traveling,Public,บขส.,Bus Outbound,10/2/2025,people,"1,957"
Railway,International traveling,Public,รฟท.,Train Inbound,10/2/2025,people,464
Railway,International traveling,Public,รฟท.,Train Outbound,10/2/2025,people,364
River,International traveling,Public,จท.,Border Port Inbound,10/2/2025,people,"2,395"
River,International traveling,Public,จท.,Border Port Outbound,10/2/2025,people,"2,303"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,10/2/2025,people,"71,614"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,10/2/2025,people,"70,203"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,10/2/2025,people,"19,409"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,10/2/2025,people,"21,005"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,10/2/2025,people,"23,098"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,10/2/2025,people,"26,813"
Air,International traveling,Public,ทย.,Regional Airports Inbound,10/2/2025,people,"1,203"
Air,International traveling,Public,ทย.,Regional Airports Outbound,10/2/2025,people,"1,296"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,11/2/2025,people,"95,961"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,11/2/2025,people,"5,429"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),11/2/2025,Units,"783,848"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),11/2/2025,Units,"950,828"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),11/2/2025,Units,"1,588,407"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),11/2/2025,Units,"1,659,434"
road,within Bangkok,Public,ขบ.,Category 4,11/2/2025,people,405
road,within Bangkok,Public,ขสมก.,BMTA buses,11/2/2025,people,"587,494"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),11/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),11/2/2025,people,"389,882"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,11/2/2025,people,"15,190"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,11/2/2025,people,"23,318"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,11/2/2025,people,"25,086"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,11/2/2025,people,"2,845"
River,within Bangkok,Public,จท.,Regional boats,11/2/2025,people,"194,132"
Railway,Inter-provincial travel,Public,รฟท.,Trains,11/2/2025,people,"77,064"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,11/2/2025,people,"530,582"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,11/2/2025,people,"86,001"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,11/2/2025,people,"51,121"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,11/2/2025,people,"70,983"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,11/2/2025,people,"80,797"
Railway,within Bangkok,Public,กทม.,BTS electric trains,11/2/2025,people,"878,138"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,11/2/2025,people,"41,836"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,11/2/2025,people,"19,872"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,11/2/2025,people,"27,525"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,11/2/2025,people,"27,681"
Air,Inter-provincial travel,Public,ทย.,Regional airports,11/2/2025,people,"18,956"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,11/2/2025,people,264
Air,Inter-provincial travel,Public,กพท.,Samui Airport,11/2/2025,people,"4,513"
road,International traveling,Public,บขส.,Bus Inbound,11/2/2025,people,655
road,International traveling,Public,บขส.,Bus Outbound,11/2/2025,people,"1,875"
Railway,International traveling,Public,รฟท.,Train Inbound,11/2/2025,people,428
Railway,International traveling,Public,รฟท.,Train Outbound,11/2/2025,people,452
River,International traveling,Public,จท.,Border Port Inbound,11/2/2025,people,"2,508"
River,International traveling,Public,จท.,Border Port Outbound,11/2/2025,people,"2,433"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,11/2/2025,people,"67,137"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,11/2/2025,people,"69,005"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,11/2/2025,people,"16,332"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,11/2/2025,people,"19,894"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,11/2/2025,people,"23,076"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,11/2/2025,people,"26,423"
Air,International traveling,Public,ทย.,Regional Airports Inbound,11/2/2025,people,954
Air,International traveling,Public,ทย.,Regional Airports Outbound,11/2/2025,people,"1,305"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,12/2/2025,people,"95,461"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,12/2/2025,people,"5,661"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),12/2/2025,Units,"786,372"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),12/2/2025,Units,"948,412"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),12/2/2025,Units,"1,319,810"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),12/2/2025,Units,"1,358,957"
road,within Bangkok,Public,ขบ.,Category 4,12/2/2025,people,843
road,within Bangkok,Public,ขสมก.,BMTA buses,12/2/2025,people,"430,977"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),12/2/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),12/2/2025,people,"277,255"
River,within Bangkok,Public,จท.,Chao Phraya Express Boat,12/2/2025,people,"6,710"
River,within Bangkok,Public,จท.,Saen Saep Canal Boat,12/2/2025,people,"7,256"
River,within Bangkok,Public,จท.,Chao Phraya Ferry,12/2/2025,people,"24,440"
River,within Bangkok,Public,จท.,Chao Phraya Electric Boat,12/2/2025,people,"2,685"
River,within Bangkok,Public,จท.,Regional boats,12/2/2025,people,"209,582"
Railway,Inter-provincial travel,Public,รฟท.,Trains,12/2/2025,people,"69,885"
Railway,within Bangkok,Public,รฟม.,Blue Line electric trains,12/2/2025,people,"325,805"
Railway,within Bangkok,Public,รฟม.,Purple Line electric trains,12/2/2025,people,"39,636"
Railway,within Bangkok,Public,รฟม.,Yellow Line electric trains,12/2/2025,people,"31,042"
Railway,within Bangkok,Public,รฟม.,Pink Line electric trains,12/2/2025,people,"38,626"
Railway,within Bangkok,Public,รฟฟท.,ARL electric trains,12/2/2025,people,"54,885"
Railway,within Bangkok,Public,กทม.,BTS electric trains,12/2/2025,people,"523,657"
Railway,within Bangkok,Public,รฟฟท.,Red Line electric trains,12/2/2025,people,"24,219"
Air,Inter-provincial travel,Public,ทอท.,Suvarnabhumi Airport,12/2/2025,people,"19,163"
Air,Inter-provincial travel,Public,ทอท.,Don Mueang Airport,12/2/2025,people,"27,519"
Air,Inter-provincial travel,Public,ทอท.,Other AOT airports,12/2/2025,people,"27,933"
Air,Inter-provincial travel,Public,ทย.,Regional airports,12/2/2025,people,"19,858"
Air,Inter-provincial travel,Public,กพท.,U-Tapao Airport,12/2/2025,people,136
Air,Inter-provincial travel,Public,กพท.,Samui Airport,12/2/2025,people,"4,391"
road,International traveling,Public,บขส.,Bus Inbound,12/2/2025,people,907
road,International traveling,Public,บขส.,Bus Outbound,12/2/2025,people,"1,568"
Railway,International traveling,Public,รฟท.,Train Inbound,12/2/2025,people,397
Railway,International traveling,Public,รฟท.,Train Outbound,12/2/2025,people,352
River,International traveling,Public,จท.,Border Port Inbound,12/2/2025,people,"2,860"
River,International traveling,Public,จท.,Border Port Outbound,12/2/2025,people,"2,798"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Inbound,12/2/2025,people,"72,363"
Air,International traveling,Public,ทอท.,Suvarnabhumi Airport Outbound,12/2/2025,people,"67,951"
Air,International traveling,Public,ทอท.,Don Mueang Airport Inbound,12/2/2025,people,"17,815"
Air,International traveling,Public,ทอท.,Don Mueang Airport Outbound,12/2/2025,people,"19,236"
Air,International traveling,Public,ทอท.,Other AOT Airports Inbound,12/2/2025,people,"22,095"
Air,International traveling,Public,ทอท.,Other AOT Airports Outbound,12/2/2025,people,"25,135"
Air,International traveling,Public,ทย.,Regional Airports Inbound,12/2/2025,people,"1,555"
Air,International traveling,Public,ทย.,Regional Airports Outbound,12/2/2025,people,"1,895"
road,Inter-provincial travel,Public,บขส.,Buses and Shared Buses,13/02/2025,people,"95,497"
road,Inter-provincial travel,Public,ขบ.,Car Category 3,13/02/2025,people,"5,761"
road,Inter-provincial travel,Private,ทล.,4-wheel vehicles (10 survey points),13/02/2025,Units,"791,753"
road,Inter-provincial travel,Private,ทล.,All types of vehicles (10 survey points),13/02/2025,Units,"957,699"
road,Inter-provincial travel,Private,กทพ.,4-wheel vehicles (expressway),13/02/2025,Units,"1,725,387"
road,Inter-provincial travel,Private,กทพ.,All types of vehicles (expressway),13/02/2025,Units,"1,800,453"
road,within Bangkok,Public,ขบ.,Category 4,13/02/2025,people,"1,037"
road,within Bangkok,Public,ขสมก.,BMTA buses,13/02/2025,people,"570,264"
road,within Bangkok,Public,ขสมก.,Shared buses (Category 1),13/02/2025,people,0
road,within Bangkok,Public,ขบ.,Private buses on the Pataprom route (Category 1),13/02/2025,people,"373,589"
